timestamp,usuario,modelo
2025-11-27 16:45:28,hola,Mi conocimiento es limitado sobre ese tema. ¿Tienes otra pregunta?
2025-11-27 16:45:43,cual es mi promedio,No estoy seguro de entender. ¿Puedes ser más específico?
2025-11-27 16:45:58,derechos de estudiantes,No estoy seguro de entender. ¿Puedes ser más específico?
2025-11-27 17:00:01,hola,No estoy seguro de entender. ¿Puedes ser más específico?
2025-11-27 17:00:13,derechos de estudiantes,Mi conocimiento es limitado sobre ese tema. ¿Tienes otra pregunta?
2025-11-27 17:00:27,cual es mi promedio,"Para poder decirte tu promedio necesito tu número de boleta (10 dígitos, por ejemplo 2021301171). Escríbelo en el mismo mensaje."
2025-11-27 17:00:40,cual es mi promedio 2021301170,Promedio general: 9.00
2025-11-27 17:07:50,hola,"Hola, soy el asistente virtual de ESCOM. ¿En qué puedo ayudarte?"
2025-11-27 17:09:18,qué pasa si entrego documentos falsos en la inscripción?,"La inscripción será nula de pleno derecho cuando el aspirante entregue documentación falsa o alterada, haciéndose del conocimiento de la Oficina del Abogado General del Instituto para que en el ámbito de su competencia ejerza las acciones legales conducentes. En este supuesto, el aspirante no podrá gestionar nueva inscripción a programa académico."
2025-11-27 17:10:01,qué materias tengo inscritas 2021301170,"De acuerdo a la información consultada, estas son las materias que tienes inscritas en el periodo 2023-2 con estado CERRADO:

- Fundamentos de Programación
- Matemáticas Discretas
- Cálculo
- Comunicación Oral y Escrita
- Mecánica y Electromagnetismo
- Fundamentos Económicos
- Algoritmos y Estructuras de Datos
- Fundamentos de Diseño Digital
- Cálculo Multivariable
- Ingeniería, Ética y Sociedad
- Álgebra Lineal
- Finanzas Empresariales
- Análisis y Diseño de Algoritmos
- Paradigmas de Programación
- Ecuaciones Diferenciales
- Bases de Datos
- Diseño de Sistemas Digitales
- Liderazgo Personal
- Fundamentos de Inteligencia Artificial
- Probabilidad y Estadística
- Matemáticas Avanzadas para la Ingeniería
- Tecnologías para el Desarrollo de Aplicaciones Web
- Análisis y Diseño de Sistemas
- Procesamiento Digital de Imágenes
- Aprendizaje de Máquina
- Visión Artificial
- Teoría de la Computación
- Procesamiento de Señales
- Algoritmos Bioinspirados
- Tecnologías de Lenguaje Natural"
2025-11-27 17:10:29,dame mi información personal 2021301170,"Hola Miguel Angel, soy el asistente virtual de ESCOM. Aquí está tu información personal registrada:

*   **Nombre:** Miguel Angel Ocampo Porcayo
*   **Email:** 2021301170@alumno.ipn.mx
*   **Carrera:** Ingeniería en Inteligencia Artificial
*   **Semestre:** 6

Si necesitas realizar algún trámite o tienes alguna otra pregunta relacionada con tu trayectoria escolar, no dudes en consultarme. Por ejemplo, puedo proporcionarte información sobre reinscripciones, bajas de materias, o el reglamento interno. ¡Estoy para ayudarte!"
2025-11-27 17:12:30,"si reprobé una materia, me puedo reinscribir a más materias?","Si el alumno tiene adeudos de unidades de aprendizaje, tendrá derecho a recursar sus adeudos de acuerdo con el Artículo 48 del Reglamento General de Estudios, e inscribir unidades de aprendizaje adicionales de su plan de estudio hasta completar al menos la carga mínima y sin rebasar la carga media de créditos del plan, siempre y cuando no se encuentre en el supuesto del Artículo 98 del Reglamento Interno.
Cuando el alumno no pueda recursar las unidades de aprendizaje adeudadas en el periodo escolar correspondiente, no podrá sustituirlas por unidades de aprendizaje diferentes a las que adeuda.
En caso de no poder reinscribirse, podrá presentar la evaluación a título de suficiencia en el periodo escolar correspondiente, el cual será contabilizado en la duración de su trayectoria escolar.
Si el alumno adeuda al menos una unidad de aprendizaje en términos de lo establecido en el Artículo 98 del Reglamento Interno, o si adeudando una unidad de aprendizaje de cualquier otro periodo escolar solicita reinscribirse a una carga menor a la mínima, deberá presentar por escrito una solicitud justificada a la Comisión de Situación Escolar del Consejo Técnico Consultivo Escolar para, en su caso, obtener la autorización correspondiente."
2025-11-27 17:24:44,cual es mi promedio?,"Por seguridad no puedo consultar información personal, porque el sistema no me envió tu boleta."
2025-11-27 17:33:41,cual es mi promedio?,"Por seguridad no puedo consultar información personal, porque el sistema no me envió tu boleta."
2025-11-27 17:33:52,promedio 2021301170,"Por seguridad no puedo consultar información personal, porque el sistema no me envió tu boleta."
2025-11-27 17:55:56,hola,"Hola, soy el asistente virtual de ESCOM. ¿En qué puedo ayudarte?"
2025-11-27 17:56:07,cual es mi promedio?,Tu promedio general es: 9.00
